hero1,hero2
"CAGE, LUKE",HULK
DR. STRANGE,"CAGE, LUKE"
NOVA,WOLVERINE
NOVA,SHE-HULK
NOVA,COLOSSUS II
NOVA,STORM
NOVA,ROGUE 
NOVA,WONDER MAN
NOVA,CYCLOPS
NOVA,VISION
NOVA,PROFESSOR X
NOVA,ICEMAN
NOVA,MARVEL GIRL
NOVA,HAVOK
NOVA,ANGEL
NOVA,SCARLET WITCH
NOVA,INVISIBLE WOMAN
NOVA,THING
NOVA,HUMAN TORCH
NOVA,HERCULES [GREEK GOD]
HERCULES [GREEK GOD],WOLVERINE
HERCULES [GREEK GOD],SHE-HULK
HERCULES [GREEK GOD],COLOSSUS II
HERCULES [GREEK GOD],STORM
HERCULES [GREEK GOD],HULK
HERCULES [GREEK GOD],CAPTAIN AMERICA
HERCULES [GREEK GOD],ROGUE 
HERCULES [GREEK GOD],CYCLOPS
HERCULES [GREEK GOD],PROFESSOR X
HERCULES [GREEK GOD],ICEMAN
HERCULES [GREEK GOD],MARVEL GIRL
HERCULES [GREEK GOD],HAVOK
HERCULES [GREEK GOD],ANGEL
HERCULES [GREEK GOD],INVISIBLE WOMAN
HERCULES [GREEK GOD],THING
HERCULES [GREEK GOD],HUMAN TORCH
HUMAN TORCH,WOLVERINE
HUMAN TORCH,COLOSSUS II
HUMAN TORCH,STORM
HUMAN TORCH,ROGUE 
HUMAN TORCH,WONDER MAN
HUMAN TORCH,PROFESSOR X
HUMAN TORCH,MARVEL GIRL
HUMAN TORCH,HAVOK
THING,COLOSSUS II
THING,ROGUE 
THING,PROFESSOR X
THING,HAVOK
INVISIBLE WOMAN,COLOSSUS II
INVISIBLE WOMAN,ROGUE 
INVISIBLE WOMAN,PROFESSOR X
INVISIBLE WOMAN,HAVOK
SCARLET WITCH,COLOSSUS II
SCARLET WITCH,ROGUE 
SCARLET WITCH,ICEMAN
SCARLET WITCH,HAVOK
ANGEL,COLOSSUS II
ANGEL,ROGUE 
ANGEL,HAVOK
HAVOK,SHE-HULK
HAVOK,HULK
HAVOK,CAPTAIN AMERICA
HAVOK,WONDER MAN
HAVOK,CYCLOPS
HAVOK,VISION
HAVOK,PROFESSOR X
HAVOK,ICEMAN
HAVOK,MARVEL GIRL
ICEMAN,WOLVERINE
ICEMAN,SHE-HULK
ICEMAN,COLOSSUS II
ICEMAN,STORM
ICEMAN,HULK
ICEMAN,ROGUE 
PROFESSOR X,WOLVERINE
PROFESSOR X,SHE-HULK
PROFESSOR X,COLOSSUS II
PROFESSOR X,STORM
PROFESSOR X,CAPTAIN AMERICA
PROFESSOR X,WONDER MAN
PROFESSOR X,VISION
VISION,COLOSSUS II
VISION,STORM
VISION,HULK
VISION,ROGUE 
VISION,CYCLOPS
CYCLOPS,COLOSSUS II
WONDER MAN,WOLVERINE
WONDER MAN,COLOSSUS II
WONDER MAN,STORM
WONDER MAN,HULK
WONDER MAN,ROGUE 
ROGUE ,SHE-HULK
ROGUE ,HULK
ROGUE ,CAPTAIN AMERICA
CAPTAIN AMERICA,WOLVERINE
CAPTAIN AMERICA,COLOSSUS II
CAPTAIN AMERICA,STORM
HULK,COLOSSUS II
COLOSSUS II,SHE-HULK
STORM,INVISIBLE WOMAN
STORM,HUMAN TORCH
STORM,DR. DOOM
STORM,MR. FANTASTIC
STORM,THING
HAVOK,INVISIBLE WOMAN
HAVOK,HUMAN TORCH
HAVOK,DR. DOOM
HAVOK,MR. FANTASTIC
HAVOK,NIGHTCRAWLER
HAVOK,THING
ROGUE ,INVISIBLE WOMAN
ROGUE ,HUMAN TORCH
ROGUE ,DR. DOOM
ROGUE ,MR. FANTASTIC
ROGUE ,NIGHTCRAWLER
ROGUE ,THING
THING,DR. DOOM
THING,NIGHTCRAWLER
COLOSSUS II,INVISIBLE WOMAN
COLOSSUS II,HUMAN TORCH
COLOSSUS II,DR. DOOM
COLOSSUS II,MR. FANTASTIC
NIGHTCRAWLER,WOLVERINE
NIGHTCRAWLER,INVISIBLE WOMAN
NIGHTCRAWLER,HUMAN TORCH
NIGHTCRAWLER,DR. DOOM
NIGHTCRAWLER,MR. FANTASTIC
MR. FANTASTIC,DR. DOOM
DR. DOOM,WOLVERINE
"ROBERTSON, JOE","WATSON-PARKER, MARY"
SCARLET WITCH,"JAMESON, J. JONAH"
SCARLET WITCH,"ROBERTSON, JOE"
"ROBERTSON, JOE","JARVIS, EDWIN"
"ROBERTSON, JOE",CAPTAIN AMERICA
"JAMESON, J. JONAH","JARVIS, EDWIN"
WOLVERINE,"WATSON-PARKER, MARY"
WOLVERINE,SPIDER-MAN
WOLVERINE,"ROBERTSON, JOE"
WOLVERINE,"JAMESON, J. JONAH"
"JAMESON, J. JONAH",ROGUE 
"JAMESON, J. JONAH",COLOSSUS II
"JAMESON, J. JONAH",STORM
"JAMESON, J. JONAH",NIGHTCRAWLER
NIGHTCRAWLER,ROGUE 
NIGHTCRAWLER,"WATSON-PARKER, MARY"
NIGHTCRAWLER,COLOSSUS II
NIGHTCRAWLER,SPIDER-MAN
NIGHTCRAWLER,STORM
NIGHTCRAWLER,"ROBERTSON, JOE"
"ROBERTSON, JOE",ROGUE 
"ROBERTSON, JOE",COLOSSUS II
"ROBERTSON, JOE",STORM
STORM,"WATSON-PARKER, MARY"
STORM,SPIDER-MAN
SPIDER-MAN,ROGUE 
SPIDER-MAN,COLOSSUS II
COLOSSUS II,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY",ROGUE 
SPIDER-MAN,DAREDEVIL
COLOSSUS II,PROFESSOR X
PROFESSOR X,NIGHTCRAWLER
BLACK WIDOW,SHE-HULK
"FURY, COL. NICHOLAS",HULK
"WATSON-PARKER, MARY",DAREDEVIL
SPIDER-MAN,SHE-HULK
SHE-HULK,"JAMESON, J. JONAH"
SHE-HULK,"WATSON-PARKER, MARY"
BLACK PANTHER,"WATSON-PARKER, MARY"
BLACK PANTHER,SPIDER-MAN
IRON MAN,"WATSON-PARKER, MARY"
SPIDER-MAN,NOVA
SHE-HULK,INVISIBLE WOMAN
INVISIBLE WOMAN,HAWK
HUMAN TORCH,HAWK
THOR,SHE-HULK
HAWK,SHE-HULK
"FURY, COL. NICHOLAS",BEAST
"FURY, COL. NICHOLAS",THOR
"FURY, COL. NICHOLAS",VISION
"FURY, COL. NICHOLAS",SHE-HULK
"JARVIS, EDWIN",SHE-HULK
SHE-HULK,BEAST
SPIDER-MAN,SCARLET WITCH
"JARVIS, EDWIN",SPIDER-MAN
SPIDER-MAN,VISION
VISION,DR. STRANGE
THOR,DR. STRANGE
DR. STRANGE,SHE-HULK
DR. STRANGE,QUICKSILVER
DR. STRANGE,HAWK
DR. STRANGE,CAPTAIN AMERICA
BLACK PANTHER,BLACK WIDOW
PROFESSOR X,DR. STRANGE
PROFESSOR X,SCARLET WITCH
PROFESSOR X,SPIDER-MAN
PROFESSOR X,WASP
PROFESSOR X,CANNONBALL II
CANNONBALL II,DR. STRANGE
CANNONBALL II,CAPTAIN AMERICA
CANNONBALL II,SCARLET WITCH
CANNONBALL II,NIGHTCRAWLER
CANNONBALL II,VISION
CANNONBALL II,SPIDER-MAN
CANNONBALL II,WASP
WASP,DR. STRANGE
WASP,NIGHTCRAWLER
WASP,COLOSSUS II
WASP,ROGUE 
WASP,STORM
SPIDER-MAN,DR. STRANGE
SPIDER-MAN,NIGHTCRAWLER
SPIDER-MAN,STORM
STORM,DR. STRANGE
STORM,SCARLET WITCH
ROGUE ,DR. STRANGE
ROGUE ,SCARLET WITCH
ROGUE ,VISION
VISION,NIGHTCRAWLER
COLOSSUS II,DR. STRANGE
COLOSSUS II,CAPTAIN AMERICA
COLOSSUS II,SCARLET WITCH
NIGHTCRAWLER,DR. STRANGE
NIGHTCRAWLER,CAPTAIN AMERICA
NIGHTCRAWLER,SCARLET WITCH
HERCULES [GREEK GOD],BEAST
HERCULES [GREEK GOD],SUB-MARINER
HERCULES [GREEK GOD],"JARVIS, EDWIN"
SHE-HULK,SUB-MARINER
SHE-HULK,BLACK PANTHER
SHE-HULK,"JARVIS, EDWIN"
HAWK,SUB-MARINER
"JARVIS, EDWIN",SUB-MARINER
BLACK PANTHER,BEAST
BLACK PANTHER,SUB-MARINER
SUB-MARINER,WONDER MAN
SUB-MARINER,SCARLET WITCH
SUB-MARINER,WASP
SUB-MARINER,ANT-MAN
SUB-MARINER,QUICKSILVER
SUB-MARINER,VISION
SUB-MARINER,IRON MAN
SUB-MARINER,BEAST
SCARLET WITCH,SUB-MARINER
THING,"JARVIS, EDWIN"
THING,BLACK WIDOW
THING,HERCULES [GREEK GOD]
THING,QUICKSILVER
HAWK,HULK
HAWK,SPIDER-MAN
INVISIBLE WOMAN,"JARVIS, EDWIN"
INVISIBLE WOMAN,BLACK WIDOW
INVISIBLE WOMAN,HERCULES [GREEK GOD]
INVISIBLE WOMAN,QUICKSILVER
QUICKSILVER,SUB-MARINER
QUICKSILVER,HULK
QUICKSILVER,BLACK WIDOW
QUICKSILVER,MR. FANTASTIC
VISION,SUB-MARINER
VISION,SPIDER-MAN
MR. FANTASTIC,BLACK PANTHER
MR. FANTASTIC,BLACK WIDOW
MR. FANTASTIC,HERCULES [GREEK GOD]
HERCULES [GREEK GOD],SPIDER-MAN
HERCULES [GREEK GOD],BLACK WIDOW
BLACK WIDOW,BEAST
BLACK WIDOW,SUB-MARINER
BLACK WIDOW,HULK
BLACK WIDOW,SPIDER-MAN
BLACK PANTHER,HULK
SPIDER-MAN,"JARVIS, EDWIN"
SUB-MARINER,SHE-HULK
SUB-MARINER,HAWK
SUB-MARINER,HERCULES [GREEK GOD]
SUB-MARINER,THOR
WONDER MAN,SUB-MARINER
COLOSSUS II,THING
WOLVERINE,INVISIBLE WOMAN
WOLVERINE,THING
WOLVERINE,HUMAN TORCH
WOLVERINE,MR. FANTASTIC
MR. FANTASTIC,NIGHTCRAWLER
MR. FANTASTIC,ROGUE 
MR. FANTASTIC,PROFESSOR X
HUMAN TORCH,NIGHTCRAWLER
PROFESSOR X,INVISIBLE WOMAN
PROFESSOR X,THING
NIGHTCRAWLER,THING
"WATSON-PARKER, MARY",INVISIBLE WOMAN
INVISIBLE WOMAN,"ROBERTSON, JOE"
ICEMAN,GAMBIT
MARVEL GIRL,GAMBIT
COLOSSUS II,BEAST
COLOSSUS II,GAMBIT
GAMBIT,WOLVERINE
GAMBIT,BEAST
ANGEL,CANNONBALL II
CANNONBALL II,ICEMAN
CANNONBALL II,BEAST
CANNONBALL II,MARVEL GIRL
CANNONBALL II,PROFESSOR X
CANNONBALL II,CYCLOPS
STORM,ICEMAN
COLOSSUS II,ICEMAN
COLOSSUS II,MARVEL GIRL
WOLVERINE,ICEMAN
WOLVERINE,BEAST
"FURY, COL. NICHOLAS",PUNISHER II
PUNISHER II,"FURY, COL. NICHOLAS"
HUMAN TORCH,"JARVIS, EDWIN"
IRON MAN,NIGHTCRAWLER
IRON MAN,DR. DOOM
IRON MAN,COLOSSUS II
STORM,THOR
STORM,DAREDEVIL
STORM,WASP
STORM,HAWK
STORM,HULK
STORM,SUB-MARINER
INVISIBLE WOMAN,NIGHTCRAWLER
INVISIBLE WOMAN,DR. DOOM
SHE-HULK,NIGHTCRAWLER
SHE-HULK,SPIDER-MAN
SHE-HULK,CYCLOPS
SHE-HULK,DAREDEVIL
SHE-HULK,DR. DOOM
SHE-HULK,COLOSSUS II
SHE-HULK,HULK
MR. FANTASTIC,DAREDEVIL
MR. FANTASTIC,HAWK
MR. FANTASTIC,COLOSSUS II
CAPTAIN AMERICA,DR. DOOM
HUMAN TORCH,DAREDEVIL
HUMAN TORCH,DR. DOOM
WONDER MAN,SPIDER-MAN
WONDER MAN,CYCLOPS
WONDER MAN,DAREDEVIL
WONDER MAN,DR. DOOM
SUB-MARINER,NIGHTCRAWLER
SUB-MARINER,SPIDER-MAN
SUB-MARINER,DAREDEVIL
SUB-MARINER,DR. DOOM
SUB-MARINER,COLOSSUS II
SUB-MARINER,WOLVERINE
HULK,NIGHTCRAWLER
HULK,DAREDEVIL
HULK,DR. DOOM
HULK,HAWK
WOLVERINE,THOR
WOLVERINE,DAREDEVIL
WOLVERINE,DR. DOOM
WOLVERINE,VISION
WOLVERINE,WASP
WOLVERINE,SCARLET WITCH
WOLVERINE,HAWK
COLOSSUS II,THOR
COLOSSUS II,SPIDER-MAN
COLOSSUS II,DAREDEVIL
COLOSSUS II,VISION
COLOSSUS II,WASP
COLOSSUS II,HAWK
HAWK,NIGHTCRAWLER
HAWK,CYCLOPS
HAWK,DAREDEVIL
HAWK,DR. DOOM
SCARLET WITCH,NIGHTCRAWLER
SCARLET WITCH,DAREDEVIL
WASP,DR. DOOM
VISION,DAREDEVIL
VISION,DR. DOOM
DR. DOOM,NIGHTCRAWLER
DR. DOOM,SPIDER-MAN
DR. DOOM,CYCLOPS
DR. DOOM,DAREDEVIL
DAREDEVIL,NIGHTCRAWLER
CYCLOPS,THOR
CYCLOPS,SPIDER-MAN
NIGHTCRAWLER,THOR
"CAGE, LUKE",THING
"CAGE, LUKE",IRON FIST
IRON FIST,THING
WONDER MAN,PROFESSOR X
WONDER MAN,INVISIBLE WOMAN
WONDER MAN,ICEMAN
WONDER MAN,MARVEL GIRL
WONDER MAN,HAVOK
HAVOK,ANGEL
HAVOK,SCARLET WITCH
HAVOK,HERCULES [GREEK GOD]
MARVEL GIRL,HERCULES [GREEK GOD]
VISION,ANGEL
VISION,PROFESSOR X
VISION,ICEMAN
SHE-HULK,ANGEL
SHE-HULK,STORM
SHE-HULK,ROGUE 
SHE-HULK,PROFESSOR X
SHE-HULK,HERCULES [GREEK GOD]
SHE-HULK,ICEMAN
COLOSSUS II,HULK
COLOSSUS II,ANGEL
COLOSSUS II,HERCULES [GREEK GOD]
ICEMAN,INVISIBLE WOMAN
WOLVERINE,HULK
WOLVERINE,ANGEL
CYCLOPS,HUMAN TORCH
PROFESSOR X,HUMAN TORCH
ROGUE ,ANGEL
STORM,ANGEL
CYCLOPS,HERCULES [GREEK GOD]
ANGEL,HUMAN TORCH
HAVOK,NOVA
ICEMAN,NOVA
ICEMAN,THING
HULK,HUMAN TORCH
HULK,ROGUE 
HULK,PROFESSOR X
HULK,HERCULES [GREEK GOD]
STORM,HERCULES [GREEK GOD]
VISION,MARVEL GIRL
HERCULES [GREEK GOD],NOVA
SHE-HULK,MARVEL GIRL
CAPTAIN AMERICA,NOVA
CAPTAIN AMERICA,ROGUE 
CAPTAIN AMERICA,PROFESSOR X
PROFESSOR X,NOVA
ROGUE ,NOVA
"JAMESON, J. JONAH",PUNISHER II
QUICKSILVER,INVISIBLE WOMAN
QUICKSILVER,HUMAN TORCH
QUICKSILVER,THING
SPIDER-MAN,IRON MAN
SPIDER-MAN,WONDER MAN
WONDER MAN,MR. FANTASTIC
HERCULES [GREEK GOD],MR. FANTASTIC
MR. FANTASTIC,QUICKSILVER
QUICKSILVER,WOLVERINE
WOLVERINE,SHE-HULK
INVISIBLE WOMAN,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY",HULK
"WATSON-PARKER, MARY",MR. FANTASTIC
"WATSON-PARKER, MARY",NOVA
"WATSON-PARKER, MARY",HUMAN TORCH
"WATSON-PARKER, MARY",THING
THING,"ROBERTSON, JOE"
"ROBERTSON, JOE",HULK
"ROBERTSON, JOE",MR. FANTASTIC
"ROBERTSON, JOE",NOVA
"ROBERTSON, JOE",HUMAN TORCH
"JAMESON, J. JONAH",NOVA
HUMAN TORCH,NOVA
NOVA,MR. FANTASTIC
HULK,"WATSON-PARKER, MARY"
SPIDER-MAN,QUICKSILVER
SPIDER-MAN,BLACK PANTHER
SPIDER-MAN,HAWK
BLACK PANTHER,THING
BLACK PANTHER,DAREDEVIL
BLACK PANTHER,HUMAN TORCH
HUMAN TORCH,QUICKSILVER
DAREDEVIL,HAWK
DAREDEVIL,QUICKSILVER
DAREDEVIL,SCARLET WITCH
THOR,HULK
THOR,PROFESSOR X
HAWK,PROFESSOR X
PROFESSOR X,BLACK PANTHER
PROFESSOR X,IRON MAN
NIGHTCRAWLER,CANNONBALL II
"FURY, COL. NICHOLAS",DR. DOOM
"FURY, COL. NICHOLAS",SPIDER-MAN
"FURY, COL. NICHOLAS",NOVA
"FURY, COL. NICHOLAS",DAREDEVIL
DAREDEVIL,WONDER MAN
DAREDEVIL,DR. DOOM
DAREDEVIL,VISION
DAREDEVIL,NOVA
NOVA,THOR
NOVA,DR. DOOM
NOVA,BEAST
NOVA,IRON MAN
BEAST,DR. DOOM
SPIDER-MAN,DR. DOOM
DR. DOOM,WONDER MAN
HAVOK,BEAST
SPIDER-MAN,PUNISHER II
"JAMESON, J. JONAH",HERCULES [GREEK GOD]
BLACK WIDOW,THING
BLACK WIDOW,DAREDEVIL
DAREDEVIL,BLACK WIDOW
NIGHTCRAWLER,PROFESSOR X
NIGHTCRAWLER,HAVOK
NIGHTCRAWLER,CYCLOPS
SPIDER-MAN,WOLVERINE
DR. STRANGE,IRON MAN
ANT-MAN,DR. DOOM
DR. DOOM,SUB-MARINER
HULK,"FURY, COL. NICHOLAS"
SUB-MARINER,DR. STRANGE
SUB-MARINER,SILVER SURFER
SILVER SURFER,HULK
SILVER SURFER,SUB-MARINER
ROGUE ,CANNONBALL II
GAMBIT,ICEMAN
GAMBIT,STORM
GAMBIT,MARVEL GIRL
GAMBIT,PROFESSOR X
DR. STRANGE,WOLVERINE
DR. STRANGE,COLOSSUS II
DR. STRANGE,NIGHTCRAWLER
PROFESSOR X,MR. FANTASTIC
"FURY, COL. NICHOLAS",STORM
"FURY, COL. NICHOLAS",PROFESSOR X
"FURY, COL. NICHOLAS",ROGUE 
"FURY, COL. NICHOLAS",WOLVERINE
"FURY, COL. NICHOLAS",NIGHTCRAWLER
"FURY, COL. NICHOLAS",COLOSSUS II
"FURY, COL. NICHOLAS",DR. STRANGE
SHE-HULK,DR. STRANGE
DR. STRANGE,STORM
DR. STRANGE,PROFESSOR X
DR. STRANGE,ROGUE 
COLOSSUS II,"JARVIS, EDWIN"
NIGHTCRAWLER,"JARVIS, EDWIN"
WOLVERINE,"JARVIS, EDWIN"
"JARVIS, EDWIN",ROGUE 
ROGUE ,PROFESSOR X
SILVER SURFER,BEAST
BEAST,DR. STRANGE
SILVER SURFER,SCARLET WITCH
SILVER SURFER,VISION
DR. STRANGE,VISION
DR. DOOM,SHE-HULK
SUB-MARINER,HUMAN TORCH
CANNONBALL II,"SUMMERS, NATHAN CHRI"
SPIDER-MAN,HERCULES [GREEK GOD]
NIGHTCRAWLER,GAMBIT
COLOSSUS II,"SUMMERS, NATHAN CHRI"
PROFESSOR X,"SUMMERS, NATHAN CHRI"
GAMBIT,"SUMMERS, NATHAN CHRI"
ROGUE ,GAMBIT
GAMBIT,COLOSSUS II
GAMBIT,NIGHTCRAWLER
CAPTAIN AMERICA,"CAGE, LUKE"
CAPTAIN AMERICA,IRON FIST
BEAST,DAREDEVIL
BEAST,NIGHTCRAWLER
BEAST,COLOSSUS II
BEAST,"CAGE, LUKE"
BEAST,HUMAN TORCH
BEAST,IRON FIST
WASP,"CAGE, LUKE"
WASP,WOLVERINE
WASP,PROFESSOR X
WASP,IRON FIST
INVISIBLE WOMAN,"CAGE, LUKE"
INVISIBLE WOMAN,IRON FIST
IRON FIST,VISION
IRON FIST,SUB-MARINER
IRON FIST,SCARLET WITCH
IRON FIST,HERCULES [GREEK GOD]
IRON FIST,MR. FANTASTIC
IRON FIST,STORM
IRON FIST,DAREDEVIL
IRON FIST,THOR
IRON FIST,NIGHTCRAWLER
IRON FIST,HULK
IRON FIST,COLOSSUS II
IRON FIST,"CAGE, LUKE"
IRON FIST,HUMAN TORCH
IRON FIST,ANGEL
IRON FIST,WOLVERINE
IRON FIST,WONDER MAN
IRON FIST,ANT-MAN
IRON FIST,IRON MAN
IRON FIST,SPIDER-MAN
IRON FIST,QUICKSILVER
IRON FIST,BLACK WIDOW
IRON FIST,DR. STRANGE
IRON FIST,BLACK PANTHER
IRON FIST,PROFESSOR X
IRON FIST,CYCLOPS
CYCLOPS,SUB-MARINER
CYCLOPS,DAREDEVIL
CYCLOPS,"CAGE, LUKE"
CYCLOPS,ANT-MAN
CYCLOPS,QUICKSILVER
CYCLOPS,BLACK WIDOW
CYCLOPS,DR. STRANGE
PROFESSOR X,SUB-MARINER
PROFESSOR X,HERCULES [GREEK GOD]
PROFESSOR X,DAREDEVIL
PROFESSOR X,THOR
PROFESSOR X,"CAGE, LUKE"
PROFESSOR X,ANT-MAN
PROFESSOR X,QUICKSILVER
PROFESSOR X,BLACK WIDOW
BLACK PANTHER,COLOSSUS II
BLACK PANTHER,"CAGE, LUKE"
BLACK PANTHER,DR. STRANGE
DR. STRANGE,THING
DR. STRANGE,HERCULES [GREEK GOD]
DR. STRANGE,MR. FANTASTIC
DR. STRANGE,DAREDEVIL
DR. STRANGE,HUMAN TORCH
DR. STRANGE,ANGEL
DR. STRANGE,WONDER MAN
DR. STRANGE,BLACK WIDOW
BLACK WIDOW,MR. FANTASTIC
BLACK WIDOW,STORM
BLACK WIDOW,NIGHTCRAWLER
BLACK WIDOW,COLOSSUS II
BLACK WIDOW,"CAGE, LUKE"
BLACK WIDOW,HUMAN TORCH
BLACK WIDOW,ANGEL
BLACK WIDOW,WOLVERINE
QUICKSILVER,STORM
QUICKSILVER,DAREDEVIL
QUICKSILVER,NIGHTCRAWLER
QUICKSILVER,COLOSSUS II
QUICKSILVER,"CAGE, LUKE"
SPIDER-MAN,"CAGE, LUKE"
SPIDER-MAN,ANGEL
IRON MAN,"CAGE, LUKE"
ANT-MAN,STORM
ANT-MAN,NIGHTCRAWLER
ANT-MAN,COLOSSUS II
ANT-MAN,"CAGE, LUKE"
ANT-MAN,WOLVERINE
WONDER MAN,"CAGE, LUKE"
WOLVERINE,SUB-MARINER
WOLVERINE,"CAGE, LUKE"
ANGEL,DAREDEVIL
ANGEL,NIGHTCRAWLER
ANGEL,"CAGE, LUKE"
HUMAN TORCH,HERCULES [GREEK GOD]
HUMAN TORCH,"CAGE, LUKE"
"CAGE, LUKE",VISION
"CAGE, LUKE",SUB-MARINER
"CAGE, LUKE",SCARLET WITCH
"CAGE, LUKE",HERCULES [GREEK GOD]
"CAGE, LUKE",MR. FANTASTIC
"CAGE, LUKE",STORM
"CAGE, LUKE",DAREDEVIL
"CAGE, LUKE",THOR
"CAGE, LUKE",NIGHTCRAWLER
"CAGE, LUKE",COLOSSUS II
COLOSSUS II,SUB-MARINER
NIGHTCRAWLER,VISION
NIGHTCRAWLER,SUB-MARINER
NIGHTCRAWLER,HERCULES [GREEK GOD]
NIGHTCRAWLER,DAREDEVIL
THOR,STORM
DAREDEVIL,HERCULES [GREEK GOD]
DAREDEVIL,STORM
SUB-MARINER,THING
THOR,DR. DOOM
"WATSON-PARKER, MARY",PUNISHER II
PUNISHER II,"JAMESON, J. JONAH"
PUNISHER II,"ROBERTSON, JOE"
SUB-MARINER,MR. FANTASTIC
SHE-HULK,HAVOK
ROGUE ,THOR
ROGUE ,SUB-MARINER
HAVOK,THOR
HAVOK,SUB-MARINER
SUB-MARINER,STORM
CAPTAIN AMERICA,"SUMMERS, NATHAN CHRI"
"SUMMERS, NATHAN CHRI",WOLVERINE
"SUMMERS, NATHAN CHRI",CAPTAIN AMERICA
"FURY, COL. NICHOLAS",THING
"JARVIS, EDWIN",WOLVERINE
INVISIBLE WOMAN,"FURY, COL. NICHOLAS"
"FURY, COL. NICHOLAS",MR. FANTASTIC
"FURY, COL. NICHOLAS",INVISIBLE WOMAN
"FURY, COL. NICHOLAS",HUMAN TORCH
MR. FANTASTIC,"FURY, COL. NICHOLAS"
ANGEL,QUICKSILVER
ICEMAN,QUICKSILVER
HERCULES [GREEK GOD],DR. DOOM
CAPTAIN AMERICA,MARVEL GIRL
CYCLOPS,WASP
THOR,ICEMAN
THOR,MARVEL GIRL
ANT-MAN,MARVEL GIRL
WASP,MARVEL GIRL
MARVEL GIRL,QUICKSILVER
SUB-MARINER,ICEMAN
SUB-MARINER,MARVEL GIRL
SUB-MARINER,ANGEL
SUB-MARINER,PROFESSOR X
CAPTAIN AMERICA,"ROBERTSON, JOE"
"FURY, COL. NICHOLAS","ROBERTSON, JOE"
"ROBERTSON, JOE",IRON MAN
"JAMESON, J. JONAH","FURY, COL. NICHOLAS"
HULK,"CAGE, LUKE"
MARVEL GIRL,"FURY, COL. NICHOLAS"
"FURY, COL. NICHOLAS","SUMMERS, NATHAN CHRI"
"SUMMERS, NATHAN CHRI",THOR
"SUMMERS, NATHAN CHRI",SCARLET WITCH
PROFESSOR X,HAVOK
CAPTAIN AMERICA,"WATSON-PARKER, MARY"
SCARLET WITCH,"WATSON-PARKER, MARY"
THOR,"WATSON-PARKER, MARY"
THOR,"ROBERTSON, JOE"
VISION,"JAMESON, J. JONAH"
VISION,"WATSON-PARKER, MARY"
VISION,"ROBERTSON, JOE"
MR. FANTASTIC,"WATSON-PARKER, MARY"
MR. FANTASTIC,"ROBERTSON, JOE"
THING,"WATSON-PARKER, MARY"
"ROBERTSON, JOE",INVISIBLE WOMAN
"ROBERTSON, JOE",DAREDEVIL
HUMAN TORCH,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY",IRON MAN
"WATSON-PARKER, MARY","JARVIS, EDWIN"
"JARVIS, EDWIN",DAREDEVIL
"JARVIS, EDWIN","JAMESON, J. JONAH"
DAREDEVIL,"CAGE, LUKE"
DAREDEVIL,IRON FIST
"JAMESON, J. JONAH","CAGE, LUKE"
"JAMESON, J. JONAH",IRON FIST
DR. DOOM,BLACK PANTHER
HUMAN TORCH,BLACK PANTHER
BLACK PANTHER,DR. DOOM
BLACK PANTHER,INVISIBLE WOMAN
BLACK WIDOW,PROFESSOR X
BLACK WIDOW,ROGUE 
BLACK WIDOW,INVISIBLE WOMAN
BLACK WIDOW,NOVA
BLACK WIDOW,CYCLOPS
BLACK WIDOW,HAVOK
BLACK WIDOW,MARVEL GIRL
BLACK WIDOW,SILVER SURFER
BLACK WIDOW,DR. STRANGE
DR. STRANGE,INVISIBLE WOMAN
DR. STRANGE,NOVA
DR. STRANGE,HAVOK
DR. STRANGE,MARVEL GIRL
WONDER MAN,SILVER SURFER
SILVER SURFER,PROFESSOR X
SILVER SURFER,MR. FANTASTIC
SILVER SURFER,ROGUE 
SILVER SURFER,HERCULES [GREEK GOD]
SILVER SURFER,CYCLOPS
SILVER SURFER,COLOSSUS II
SILVER SURFER,HAVOK
SILVER SURFER,MARVEL GIRL
SILVER SURFER,STORM
SILVER SURFER,ANGEL
SILVER SURFER,DAREDEVIL
DAREDEVIL,WOLVERINE
DAREDEVIL,PROFESSOR X
DAREDEVIL,ROGUE 
DAREDEVIL,COLOSSUS II
DAREDEVIL,SHE-HULK
DAREDEVIL,HAVOK
DAREDEVIL,MARVEL GIRL
STORM,IRON MAN
HAVOK,IRON MAN
IRON MAN,PROFESSOR X
IRON MAN,ROGUE 
COLOSSUS II,NOVA
"FURY, COL. NICHOLAS",ICEMAN
"FURY, COL. NICHOLAS",ANGEL
HUMAN TORCH,SILVER SURFER
DR. DOOM,SILVER SURFER
BLACK WIDOW,"JAMESON, J. JONAH"
NOVA,WASP
NOVA,BLACK PANTHER
NOVA,"JAMESON, J. JONAH"
NOVA,"FURY, COL. NICHOLAS"
NOVA,DAREDEVIL
NOVA,ANT-MAN
NOVA,SUB-MARINER
SUB-MARINER,BLACK PANTHER
SUB-MARINER,"FURY, COL. NICHOLAS"
WONDER MAN,"JAMESON, J. JONAH"
ANT-MAN,"FURY, COL. NICHOLAS"
SPIDER-MAN,"FURY, COL. NICHOLAS"
DAREDEVIL,BLACK PANTHER
DAREDEVIL,"FURY, COL. NICHOLAS"
"FURY, COL. NICHOLAS","JAMESON, J. JONAH"
